Ranking,Player,Elo
1,JoyDivision,2089.83
2,N00dles,1978.56
3,bbScythe,1952.02
4,dAy,1930.05
5,nobadinohz,1892.46
6,clime,1886.88
7,Mr. Der,1847.35
8,Zottelschratz,1844.17
9,WrathClaw,1841.43
10,Nevic,1831.17
11,FOMOF,1784.82
12,Fresh Meat,1783.16
13,ammorning,1781.64
14,releasethecralkin,1774.92
15,morewhales,1761.21
16,Germy,1757.29
17,poserLX,1747.92
18,AviDMeher,1719.8
19,EchoPapa,1711.56
20,ninjew,1704.61
21,JoeyTyke,1677.42
22,kibitzer,1672.0
23,Hugu,1668.86
24,Halloworhorcrux,1658.13
25,Prince Ali,1656.74
26,Underdoggo,1652.41
27,bennyflips,1644.81
28,KÃ¶lsch,1640.93
29,Zuelo,1640.7
30,Bulldogcoma,1636.29
31,bearly_trying,1634.17
32,AxlPrototype,1627.98
33,symphonous,1607.23
34,Grishous,1591.31
35,echostaffel,1588.76
36,astenu,1581.07
37,adityakarthik,1570.59
38,qazzaq,1570.23
39,Awedish,1564.4
40,truebroyeti,1560.28
41,Feast4Crows,1549.83
42,Scuri,1549.23
43,Gamer_Gid,1546.47
44,Fllyingmustang,1524.38
45,CabelReady,1522.67
46,Combat Bluffer,1520.95
47,Britta,1505.36
48,kurtdog,1500.54
49,Albionwolf,1499.07
50,caitlin,1496.4
51,RÃ¤ubi,1496.4
52,onyablock,1492.93
53,Marty,1491.56
54,0,1488.76
55,thenobleknave,1487.18
56,viamer,1485.59
57,I360,1484.38
58,FibausmHochhaus,1475.99
59,erewego,1467.54
60,chrisgoering,1454.54
61,rabenjamain16,1454.3
62,NoblaSalebla,1452.94
63,RimbaBoss,1452.4
64,Timislove,1450.83
65,Dzordz,1437.67
66,Woodpecker,1436.84
67,KingRob,1436.78
68,Plamax,1434.21
69,zevgon,1424.41
70,eve,1413.52
71,SniffThis1,1413.28
72,Sophrosyne36,1407.2
73,Noobmaster5000,1405.03
74,Tayzer Wayne,1402.65
75,Svaho,1402.19
76,Zesix,1389.51
77,HeroofCanton,1387.17
78,SuaveJ,1379.66
79,KennyRob,1379.01
80,Paju,1376.48
81,KajDar,1375.82
82,MR_Munch,1375.03
83,smedley,1370.58
84,Kuk!,1368.82
85,kokeshi,1367.38
86,donuhue,1366.98
87,moerichuk,1365.51
88,tomeleoon,1357.25
89,Cowpanda,1354.39
90,Gharr,1348.62
91,quangson,1347.43
92,Angry_Meeple,1345.68
93,Pascal,1344.96
94,Northcreature,1344.64
95,Ben_Naylor,1338.07
96,harryfan007,1334.95
97,KingDaDaDog,1333.48
98,LYB,1331.39
99,Zahart,1330.17
100,Totttthhh,1326.36
101,TBJ1118,1325.92
102,snow814,1323.59
103,StarCraft Logan,1323.4
104,donov,1321.78
105,judicium,1321.48
106,Ghostwheel,1321.25
107,Marspivak,1320.37
108,mrdoublehelix,1320.01
109,twho,1319.57
110,jay,1316.44
111,daveedojr,1315.0
112,dankynugz,1311.69
113,Video Game Muso,1309.82
114,przechodzenachaos,1304.75
115,CurryMonster,1294.03
116,ThrowLow,1293.75
117,bigner,1293.52
118,runningtrumpet,1291.94
119,SaneDude,1290.91
120,SteveWinwood,1288.82
121,MP_Invisible,1287.03
122,Ottawa.toronto,1283.27
123,aDAMOpl,1280.45
124,Reyl,1273.97
125,ShakaSpell,1273.93
126,Toon,1268.06
127,Bascythe,1267.41
128,Tinydoge,1265.97
129,Dinkaflicka,1264.65
130,Mr. Brasil,1264.32
131,Ginger,1255.19
132,orangecaffeine,1253.76
133,Falagar,1252.93
134,Sid,1252.12
135,Valiant,1251.88
136,Kradenth,1247.03
137,backwardsdeer,1244.43
138,double clutch,1243.42
139,ndsurgenor,1242.68
140,errikos,1239.62
141,HarleyQuinn,1237.1
142,bembas,1237.02
143,MLoki,1233.66
144,Egon,1230.69
145,Alexcalibur,1229.52
146,Fish,1225.15
147,HistoryMystery,1224.78
148,CommandoMonkey,1218.63
149,ndwags,1218.01
150,3dsam1,1216.96
151,MaryMark3000,1216.54
152,LordFrank,1215.99
153,PrazoR,1211.75
154,salmondip,1211.47
155,milton,1211.28
156,snnaale43,1204.8
157,KyraWNY,1202.09
158,Ryepitch,1199.74
159,Gilzgametoo,1198.13
160,krlosvzla,1196.01
161,Mikebot007,1192.28
162,BillyBeyond,1180.87
163,dizisarn,1174.83
164,Qianpou,1174.0
165,Maza,1173.27
166,b1tmancer,1173.25
167,Colonel Forbin,1167.13
168,oh_bob_saget,1166.4
169,howdydoodie,1164.84
170,Zagor,1162.11
171,boredgamer01,1161.2
172,"Fylkir Tarkus ""Black Iron""",1152.25
173,johnak,1151.93
174,Kirby,1147.92
175,NormanHologram,1146.78
176,MooShuPanther,1145.02
177,Genaros_bear,1141.29
178,Ghostpieguy,1140.15
179,SinNider,1139.7
180,Chivvo,1133.74
181,Foster Tom,1133.27
182,vtdchi,1132.11
183,Bizzusta,1128.87
184,tunibjork,1127.85
185,Kalambaka,1114.48
186,beansanddice,1089.99
187,knuBBe,1089.63
188,aditya96,1078.79
189,smugskull,1076.27
190,WARchrst,1073.16
191,achipinthesugar,1070.86
192,F2PEngineer,1062.41
193,snoopymate25,1055.18
194,Meguy1151,1046.06
195,1awesomeguy,1043.48
196,doctordoubleu,1042.57
197,GM,1037.25
198,Goliathsboy,1035.16
199,Wolftongue,1012.2
200,moop212,1009.62
201,Timemyth,995.42
202,AoB Joe,981.0
203,phyphor,955.75
