Player,Points,SoS,R1 table,R2 table,R3 table,R4 table,R5 table,R6 table,,R1 Score,R1 Combo,R1 Placement,R1 Opp1,R1 Opp2,R2 Score,R2 Combo,R2 Placement,R2 Opp1,R2 Opp2,R3 Score,R3 Combo,R3 Placement,R3 Opp1,R3 Opp2,R4 Score,R4 Combo,R4 Placement,R4 Opp1,R4 Opp2,R5 Score,R5 Combo,R5 Placement,R5 Opp1,R5 Opp2,R6 Score,R6 Combo,R6 Placement,R6 Opp1,R6 Opp2
morewhales,5,1.42,3,4,2,2,3,1,,52,Crimea Agricultural,1,zevgon,releasethecralkin,77,Nordic Innovative,2,Sophrosyne36,truebroyeti,68,Togawa Patriotic,1,truebroyeti,Mr. Der,42,Polania Engineering,1,JoyDivision,Germy,90,Togawa Patriotic,1,Mr. Der,JoyDivision,77,Saxony Agricultural,1,ammorning,zevgon
JoyDivision,3,2.50,4,1,3,2,3,4,,60,Crimea Agricultural,1,ammorning,Sophrosyne36,55,Nordic Innovative,3,poserLX,Nevic,73,Togawa Patriotic,1,ammorning,releasethecralkin,38,Nordic Patriotic,2,morewhales,Germy,76,Crimea Engineering,2,Mr. Der,morewhales,39,Polania Industrial,1,Mr. Der,poserLX
Mr. Der,3,2.17,2,2,2,1,3,4,,72,Togawa Patriotic,1,Nevic,nobadinohz,59,Crimea Agricultural,1,Germy,zevgon,65,Nordic Innovative,2,morewhales,truebroyeti,53,Nordic Engineering,1,releasethecralkin,truebroyeti,65,Albion Militant,3,JoyDivision,morewhales,31,Saxony Patriotic,2,poserLX,JoyDivision
poserLX,3,1.67,1,1,1,3,2,4,,44,Togawa Patriotic,3,truebroyeti,Germy,57.5,Crimea Agricultural,1,Nevic,JoyDivision,99,Nordic Innovative,1,nobadinohz,zevgon,81,Togawa Patriotic,3,Nevic,ammorning,54,Polania Engineering,1,ammorning,zevgon,25,Crimea Agricultural,3,Mr. Der,JoyDivision
nobadinohz,3,1.42,2,3,1,4,1,3,,43,Crimea Agricultural,3,Mr. Der,Nevic,69,Nordic Innovative,1,ammorning,releasethecralkin,62,Togawa Patriotic,2,poserLX,zevgon,59,Polania Industrial,1,Sophrosyne36,zevgon,55,Polania Militant,3,Sophrosyne36,Germy,58,Togawa Patriotic,1,Germy,releasethecralkin
Germy,2,2.17,1,2,4,2,1,3,,52,Crimea Agricultural,1,poserLX,truebroyeti,45,Nordic Innovative,2,Mr. Der,zevgon,60,Togawa Patriotic,1,Nevic,Sophrosyne36,29,Togawa Industrial,3,JoyDivision,morewhales,68,Saxony Agricultural,2,Sophrosyne36,nobadinohz,12,Crimea Engineering,3,nobadinohz,releasethecralkin
Sophrosyne36,2,1.92,4,4,4,4,1,2,,22,Togawa Patriotic,3,ammorning,JoyDivision,78,Crimea Agricultural,1,truebroyeti,morewhales,52,Nordic Innovative,2,Nevic,Germy,46,Crimea Agricultural,2,nobadinohz,zevgon,72,Nordic Engineering,1,Germy,nobadinohz,28,Nordic Patriotic,3,Nevic,truebroyeti
Nevic,2,1.83,2,1,4,3,4,2,,67,Nordic Innovative,2,Mr. Der,nobadinohz,57,Togawa Patriotic,2,poserLX,JoyDivision,49,Crimea Agricultural,3,Sophrosyne36,Germy,89,Albion Militant,2,poserLX,ammorning,57,Polania Industrial,1,truebroyeti,releasethecralkin,70,Polania Engineering,1,truebroyeti,Sophrosyne36
ammorning,1,2.00,4,3,3,3,2,1,,42,Nordic Innovative,2,Sophrosyne36,JoyDivision,51,Togawa Patriotic,2,releasethecralkin,nobadinohz,52,Crimea Agricultural,2,JoyDivision,releasethecralkin,102,Crimea Engineering,1,Nevic,poserLX,37,Nordic Patriotic,2,poserLX,zevgon,33,Nordic Engineering,3,morewhales,zevgon
zevgon,0,2.58,3,2,1,4,2,1,,27,Nordic Innovative,3,morewhales,releasethecralkin,35,Togawa Patriotic,3,Mr. Der,Germy,54,Crimea Agricultural,3,poserLX,nobadinohz,41,Saxony Patriotic,3,Sophrosyne36,nobadinohz,34,Togawa Industrial,3,ammorning,poserLX,42,Polania Militant,2,ammorning,morewhales
truebroyeti,0,2.42,1,4,2,1,4,2,,49,Nordic Innovative,2,poserLX,Germy,71,Togawa Patriotic,3,Sophrosyne36,morewhales,54,Crimea Agricultural,3,morewhales,Mr. Der,33,Polania Militant,3,Mr. Der,releasethecralkin,56,Saxony Patriotic,2,Nevic,releasethecralkin,60,Togawa Industrial,2,Nevic,Sophrosyne36
releasethecralkin,0,1.92,3,3,3,1,4,3,,43,Togawa Patriotic,2,morewhales,zevgon,47,Crimea Agricultural,3,ammorning,nobadinohz,48,Nordic Innovative,3,ammorning,JoyDivision,45,Saxony Agricultural,2,Mr. Der,truebroyeti,54,Crimea Agricultural,3,Nevic,truebroyeti,21,Albion Militant,2,nobadinohz,Germy
