 ,,The House That Gunter Built - Max Build Bonus Points,,,,,,,if final coin score is tied add 0.5 to the score of the player that won the tiebreaker,,,,,,,,,,,,,,,,,13,15,14
,,Saxony Industrial,,Rusviet Engineering,,Crimea Mechanical,,,if final challenge score is tied add 0.5 to the challenge score for game 3 ,,,,,,,,,,,,,,,,,,,
,,Wins: 13 ~ 30.95%,,Wins: 15 ~ 35.71%,,Wins: 14 ~ 33.33%,,,  for the tied player that used the least time in game 3,,,,,,,,,,,,,,,,,,,
,,Game 1,,,Game 2,,,Game 3,,,,,,,,,,,,,,,,,,,,
Group,Player Name,Faction / Mat,Raw Score,Challenge Score,Faction / Mat,Raw Score,Challenge Score,Faction / Mat,Raw Score,Challenge Score,Game Wins,Challenge Total,Challenge Win,check,Total Round Points,,,,,,,,,,,,,
A,@Nevic#8382,Saxony Industrial,65,9,Rusviet Engineering,37,4,Crimea Mechanical,51,0,1,13,1,,2,,,,,,,,,,,,,
A,@dAy#5660,Rusviet Engineering,79,2,Crimea Mechanical,67,2,Saxony Industrial,32,0,2,4,0,,2,,,,,,,,,,,,,
A,@Totttthhh#7118,Crimea Mechanical,77,0,Saxony Industrial,25,0,Rusviet Engineering,38,0,0,0,0,,0,,,,,,,,,,,,,
B,@EchoPapa#8173,Saxony Industrial,41,0,Rusviet Engineering,48,2,Crimea Mechanical,38,2,0,4,0,,0,,,,,,,,,,,,,
B,@bbScythe#6377,Rusviet Engineering,58,0,Crimea Mechanical,94,9,Saxony Industrial,64,4,3,13,1,,4,,,,,,,,,,,,,
B,@Zottelschratz#4301,Crimea Mechanical,50,0,Saxony Industrial,38,6,Rusviet Engineering,43,4,0,10,0,,0,,,,,,,,,,,,,
C,@Zuelo#6778,Saxony Industrial,49,2,Rusviet Engineering,57,0,Crimea Mechanical,23,0,1,2,0,,1,,,,,,,,,,,,,
C,@FOMOF#2746,Rusviet Engineering,51,4,Crimea Mechanical,44,0,Saxony Industrial,32,6,0,10,1,,1,,,,,,,,,,,,,
C,@JoyDivision#1722,Crimea Mechanical,62,4,Saxony Industrial,52,4,Rusviet Engineering,51,0,2,8,0,,2,,,,,,,,,,,,,
D,@Mr. Der#8615,Saxony Industrial,67,9,Rusviet Engineering,24,0,Crimea Mechanical,56,6,1,15,1,,2,,,,,,,,,,,,,
D,@Symphonous#0603,Rusviet Engineering,65,4,Crimea Mechanical,41,0,Saxony Industrial,58,6,0,10,0,,0,,,,,,,,,,,,,
D,@kurtdog4#2549,Crimea Mechanical,60,4,Saxony Industrial,50,2,Rusviet Engineering,59,0,2,6,0,,2,,,,,,,,,,,,,
E,@AviDMeher#8869,Saxony Industrial,62,6,Rusviet Engineering,53,0,Crimea Mechanical,70,6,3,12,0,,3,,,,,,,,,,,,,
E,@_MR_MUNCH#0519,Rusviet Engineering,42,4,Crimea Mechanical,24,0,Saxony Industrial,49,2,0,6,0,,0,,,,,,,,,,,,,
E,@echostaffel#5263,Crimea Mechanical,35,0,Saxony Industrial,37,4,Rusviet Engineering,66,9,0,13,1,,1,,,,,,,,,,,,,
F,@smedley#2593,Saxony Industrial,33,,Rusviet Engineering,81,4,Crimea Mechanical,44,0,1,4,0,,1,,,,,,,,,,,,,
F,@KingRob#0616,Rusviet Engineering,64,4,Crimea Mechanical,64,2,Saxony Industrial,55,0,2,6,0,,2,,,,,,,,,,,,,
F,@Northcreature#7047,Crimea Mechanical,63,2,Saxony Industrial,40,9,Rusviet Engineering,49,4,0,15,1,,1,,,,,,,,,,,,,
G,@orangecaffeine2862,Saxony Industrial,34,0,Rusviet Engineering,39,0,Crimea Mechanical,22,0,0,0,0,,0,,,,,,,,,,,,,
G,@donuhue#4249,Rusviet Engineering,58,0,Crimea Mechanical,48,2,Saxony Industrial,69,2,2,4,0,,2,,,,,,,,,,,,,
G,@Hugu#0328,Crimea Mechanical,36,2,Saxony Industrial,57,4,Rusviet Engineering,56,0,1,6,1,,2,,,,,,,,,,,,,
H,@Fllyingmustang#0521,Saxony Industrial,39,6.5,Rusviet Engineering,29,4,Crimea Mechanical,51,,1,10.5,1,,2,,,,,,,,,,,,,
H,@JoeyTyke#9961,Rusviet Engineering,52,2,Crimea Mechanical,37,4,Saxony Industrial,31,4,1,10,0,,1,,,,,,,,,,,,,
H,@Kölsch#3140,Crimea Mechanical,51,4,Saxony Industrial,45,,Rusviet Engineering,46,,1,4,0,,1,,,,,,,,,,,,,
I,@Plamax#6805,Saxony Industrial,36,0,Rusviet Engineering,47,0,Crimea Mechanical,50,4,0,4,0,,0,,,,,,,,,,,,,
I,@Awedish#0420,Rusviet Engineering,38,4,Crimea Mechanical,85,4,Saxony Industrial,68,9,2,17,1,,3,,,,,,,,,,,,,
