,,Technology Obsession - Most Upgrades,,,,,,,if final coin score is tied add 0.5 to the score of the player that won the tiebreaker,,,,,,,,,,,,,,,,,13,11,18
,,Albion Patriotic,,Nordic Mechanical,,Saxony Agricultural,,,if final challenge score is tied add 0.5 to the challenge score for game 3 ,,,,,,,,,,,,,,,,,,,
,,Wins: 13 ~ 30.95%,,Wins: 11 ~ 26.19%,,Wins: 18 ~ 42.86%,,,  for the tied player that used the least time in game 3,,,,,,,,,,,,,,,,,,,
,,Game 1,,,Game 2,,,Game 3,,,,,,,,,,,,,,,,,,,,
Group,Player Name,Faction / Mat,Raw Score,Challenge Score,Faction / Mat,Raw Score,Challenge Score,Faction / Mat,Raw Score,Challenge Score,Game Wins,Challenge Total,Challenge Win,check,Total Round Points,,,,,,,,,,,,,
A,@bbScythe#6377,Albion Patriotic,40,3,Nordic Mechanical,55,3,Saxony Agricultural,50,3,1,9,1,,2,,,,,,,,,,,,,
A,@dAy#5660,Nordic Mechanical,40,1,Saxony Agricultural,79,4,Albion Patriotic,41,2,1,7,0,,1,,,,,,,,,,,,,
A,@Nevic#8382,Saxony Agricultural,42,1,Albion Patriotic,74,2,Nordic Mechanical,18,3,1,6,0,,1,,,,,,,,,,,,,
B,@AviDMeher#8869,Albion Patriotic,56,1,Nordic Mechanical,55,3,Saxony Agricultural,36,1,0,5,0,,0,,,,,,,,,,,,,
B,@JoyDivision#1722,Nordic Mechanical,72,3,Saxony Agricultural,60,4,Albion Patriotic,60,4,2,11,0,,2,,,,,,,,,,,,,
B,@Mr. Der#8615,Saxony Agricultural,53,6,Albion Patriotic,57,5,Nordic Mechanical,67,1,1,12,1,,2,,,,,,,,,,,,,
C,@Zuelo#6778,Albion Patriotic,68,4,Nordic Mechanical,60,5,Saxony Agricultural,66,4,2,13,0,,2,,,,,,,,,,,,,
C,@kurtdog4#2549,Nordic Mechanical,45,6,Saxony Agricultural,45,5,Albion Patriotic,53,5,0,16,1,,1,,,,,,,,,,,,,
C,@Awedish#0420,Saxony Agricultural,81,6,Albion Patriotic,47,5,Nordic Mechanical,37,3,1,14,0,,1,,,,,,,,,,,,,
D,@N00dles#1849,Albion Patriotic,57,2,Nordic Mechanical,104,1,Saxony Agricultural,44,3,1,6,0,,1,,,,,,,,,,,,,
D,@FOMOF#2746,Nordic Mechanical,74,2,Saxony Agricultural,46,4,Albion Patriotic,71,3.5,2,9.5,1,,3,,,,,,,,,,,,,
D,@KingRob#0616,Saxony Agricultural,61,2,Albion Patriotic,63,5,Nordic Mechanical,61,2,0,9,0,,0,,,,,,,,,,,,,
E,@donuhue#4249,Albion Patriotic,46,2,Nordic Mechanical,51,1,Saxony Agricultural,63,3,1,6,0,,1,,,,,,,,,,,,,
E,@KennyRob#7347,Nordic Mechanical,65,3,Saxony Agricultural,34,6,Albion Patriotic,52,4,0,13,0,,0,,,,,,,,,,,,,
E,@Symphonous#0603,Saxony Agricultural,68,5,Albion Patriotic,61,6,Nordic Mechanical,51,3,2,14,1,,3,,,,,,,,,,,,,
F,@Zottelschratz#4301,Albion Patriotic,83,4,Nordic Mechanical,44,2,Saxony Agricultural,62,4,2,10,0,,2,,,,,,,,,,,,,
F,@Totttthhh#7118,Nordic Mechanical,52,3,Saxony Agricultural,41,6,Albion Patriotic,23,6,0,15,1,,1,,,,,,,,,,,,,
F,@EchoPapa#8173,Saxony Agricultural,43,6,Albion Patriotic,75,6,Nordic Mechanical,57,2,1,14,0,,1,,,,,,,,,,,,,
G,@echostaffel#5263,Albion Patriotic,84,3,Nordic Mechanical,62,3,Saxony Agricultural,70,6,2,12,0,,2,,,,,,,,,,,,,
G,@smedley#2593,Nordic Mechanical,57,2,Saxony Agricultural,80,5,Albion Patriotic,54,5.5,1,12.5,1,,2,,,,,,,,,,,,,
G,@Halloworhorcrux#1548,Saxony Agricultural,31,1,Albion Patriotic,55,2,Nordic Mechanical,50,2,0,5,0,,0,,,,,,,,,,,,,
H,@Harryfan007#8759,Albion Patriotic,58,4,Nordic Mechanical,26,4,Saxony Agricultural,54,4,0,12,1,,1,,,,,,,,,,,,,
H,@Hugu#0328,Nordic Mechanical,62,3,Saxony Agricultural,49.5,3,Albion Patriotic,81,4,3,10,0,,3,,,,,,,,,,,,,
H,@Fllyingmustang#0521,Saxony Agricultural,24,4,Albion Patriotic,49,4,Nordic Mechanical,67,2,0,10,0,,0,,,,,,,,,,,,,
I,@thenobleknave (UTC-7)#5582,Albion Patriotic,46,4,Nordic Mechanical,57,6,Saxony Agricultural,45,6,1,16,1,,2,,,,,,,,,,,,,
I,@Kölsch#3140,Nordic Mechanical,59,2,Saxony Agricultural,37,4,Albion Patriotic,70,3,2,9,0,,2,,,,,,,,,,,,,
I,@JoeyTyke#9961,Saxony Agricultural,38,4,Albion Patriotic,52,4,Nordic Mechanical,40,2,0,10,0,,0,,,,,,,,,,,,,
J,@Gamer_Gid#8885,Albion Patriotic,91,4,Nordic Mechanical,56,6,Saxony Agricultural,54,6,1,16,1,,2,,,,,,,,,,,,,
J,@_MR_MUNCH#0519,Nordic Mechanical,47,4,Saxony Agricultural,65,5,Albion Patriotic,74,5,2,14,0,,2,,,,,,,,,,,,,
J,@Northcreature#7047,Saxony Agricultural,0,0,Albion Patriotic,0,0,Nordic Mechanical,0,0,0,0,0,,0,,,,,,,,,,,,,
