,,Lost in the Woods - most forest hexes controlled by only a single worker/character,,,,,,,if final coin score is tied add 0.5 to the score of the player that won the tiebreaker,,,,,,,,,,,,,,,,,13,15,14
,,Crimea Industrial,,Polania Militant,,Rusviet Mechanical,,,if final challenge score is tied add 0.5 to the challenge score for game 3 ,,,,,,,,,,,,,,,,,,,
,,Wins: 13 ~ 30.95%,,Wins: 15 ~ 35.71%,,Wins: 14 ~ 33.33%,,,  for the tied player that used the least time in game 3,,,,,,,,,,,,,,,,,,,
,,Game 1,,,Game 2,,,Game 3,,,,,,,,,,,,,,,,,,,,
Group,Player Name,Faction / Mat,Raw Score,Challenge Score,Faction / Mat,Raw Score,Challenge Score,Faction / Mat,Raw Score,Challenge Score,Game Wins,Challenge Total,Challenge Win,check,Total Round Points,,,,,,,,,,,,,
A,@bbScythe#6377,Crimea Industrial,63,3,Polania Militant,68,1,Rusviet Mechanical,58,2,1,6,0,,1,,,,,,,,,,,,,
A,@dAy#5660,Polania Militant,52,1,Rusviet Mechanical,76,0,Crimea Industrial,68,0,0,1,0,,0,,,,,,,,,,,,,
A,@JoyDivision#1722,Rusviet Mechanical,56,1,Crimea Industrial,76.5,4,Polania Militant,110,1.5,2,6.5,1,,3,,,,,,,,,,,,,
B,@Nevic#8382,Crimea Industrial,46,1,Polania Militant,59,1,Rusviet Mechanical,45,0,1,2,0,,1,,,,,,,,,,,,,
B,@Mr. Der#8615,Polania Militant,46.5,1,Rusviet Mechanical,48,1,Crimea Industrial,67,0,2,2,0,,2,,,,,,,,,,,,,
B,@FOMOF#2746,Rusviet Mechanical,42,0,Crimea Industrial,56,3,Polania Militant,47,2,0,5,1,,1,,,,,,,,,,,,,
C,@Zuelo#6778,Crimea Industrial,65,5,Polania Militant,46,1,Rusviet Mechanical,65,0,1,6,1,,2,,,,,,,,,,,,,
C,@Hugu#0328,Polania Militant,66,0,Rusviet Mechanical,55,0,Crimea Industrial,59,0,0,0,0,,0,,,,,,,,,,,,,
C,@Symphonous#0603,Rusviet Mechanical,72,1,Crimea Industrial,58,0,Polania Militant,43,0,2,1,0,,2,,,,,,,,,,,,,
D,@AviDMeher#8869,Crimea Industrial,59,5,Polania Militant,58,1,Rusviet Mechanical,62,2,1,8,1,,2,,,,,,,,,,,,,
D,@Awedish#0420,Polania Militant,78,1,Rusviet Mechanical,65,1,Crimea Industrial,56,0,2,2,0,,2,,,,,,,,,,,,,
D,@Zottelschratz#4301,Rusviet Mechanical,55,0,Crimea Industrial,59,0,Polania Militant,61,1,0,1,0,,0,,,,,,,,,,,,,
E,@N00dles#1849,Crimea Industrial,73,4,Polania Militant,62,1,Rusviet Mechanical,41,0,2,5,1,,3,,,,,,,,,,,,,
E,@echostaffel#5263,Polania Militant,47,1,Rusviet Mechanical,38,1,Crimea Industrial,52,0,0,2,0,,0,,,,,,,,,,,,,
E,@kurtdog4#2549,Rusviet Mechanical,54,0,Crimea Industrial,53,1,Polania Militant,69,3,1,4,0,,1,,,,,,,,,,,,,
F,@smedley#2593,Crimea Industrial,64,1,Polania Militant,46,1,Rusviet Mechanical,53,2,1,4,1,,2,,,,,,,,,,,,,
F,@donuhue#4249,Polania Militant,50,1,Rusviet Mechanical,41,0,Crimea Industrial,58,1,0,2,0,,0,,,,,,,,,,,,,
F,@Kölsch#3140,Rusviet Mechanical,42,1,Crimea Industrial,56,1,Polania Militant,71,0,2,2,0,,2,,,,,,,,,,,,,
G,@EchoPapa#8173,Crimea Industrial,68,1,Polania Militant,62,2,Rusviet Mechanical,59,0,3,3,1,,4,,,,,,,,,,,,,
G,@thenobleknave (UTC-7)#5582,Polania Militant,0,0,Rusviet Mechanical,0,0,Crimea Industrial,0,0,0,0,0,,0,,,,,,,,,,,,,
G,@_MR_MUNCH#0519,Rusviet Mechanical,29,0,Crimea Industrial,51,0,Polania Militant,23,0,0,0,0,,0,,,,,,,,,,,,,
H,@Plamax#6805,Crimea Industrial,70,1,Polania Militant,46,1,Rusviet Mechanical,45,0,1,2,0,,1,,,,,,,,,,,,,
H,@Gamer_Gid#8885,Polania Militant,57,2,Rusviet Mechanical,64,1,Crimea Industrial,66,0,2,3,1,,3,,,,,,,,,,,,,
H,@adityakarthik#3786,Rusviet Mechanical,0,0,Crimea Industrial,0,0,Polania Militant,0,0,0,0,0,,0,,,,,,,,,,,,,
I,@poserLX#8403,Crimea Industrial,64,3,Polania Militant,59,2,Rusviet Mechanical,54,0,1,5,0,,1,,,,,,,,,,,,,
I,@Prince Ali #6242,Polania Militant,40,2,Rusviet Mechanical,63,1,Crimea Industrial,63,3,2,6,1,,3,,,,,,,,,,,,,
I,@Totttthhh#7118,Rusviet Mechanical,52,1,Crimea Industrial,36,3,Polania Militant,26,1,0,5,0,,0,,,,,,,,,,,,,
J,@Harryfan007#8759,Crimea Industrial,36,0,Polania Militant,59,0,Rusviet Mechanical,42,0,0,0,0,,0,,,,,,,,,,,,,
J,@KingRob#0616,Polania Militant,83,2,Rusviet Mechanical,74,0,Crimea Industrial,31,1,2,3,0,,2,,,,,,,,,,,,,
J,@KennyRob#7347,Rusviet Mechanical,57,0,Crimea Industrial,42,5,Polania Militant,60,0,1,5,1,,2,,,,,,,,,,,,,
K,@Halloworhorcrux#1548,Crimea Industrial,42,0,Polania Militant,48,0,Rusviet Mechanical,58,1,0,1,0,,0,,,,,,,,,,,,,
K,@Fllyingmustang#0521,Polania Militant,50,1,Rusviet Mechanical,52,2,Crimea Industrial,55,3,0,6,1,,1,,,,,,,,,,,,,
K,@JoeyTyke#9961,Rusviet Mechanical,72,2,Crimea Industrial,64,1,Polania Militant,61,2,3,5,0,,3,,,,,,,,,,,,,
L,"@Fylkir Tarkus ""Black Iron""#3826",Crimea Industrial,31,,Polania Militant,43,,Rusviet Mechanical,34,,0,0,0,,0,,,,,,,,,,,,,
L,@Northcreature#7047,Polania Militant,55,,Rusviet Mechanical,66,,Crimea Industrial,31,,2,0,0,,2,,,,,,,,,,,,,
L,@HeroofCanton#2106,Rusviet Mechanical,40,0,Crimea Industrial,46,3,Polania Militant,41,2,1,5,1,,2,,,,,,,,,,,,,
M,@salmondip#6802,Crimea Industrial,30,0,Polania Militant,49,0,Rusviet Mechanical,51,1,2,1,0,,2,,,,,,,,,,,,,
M,@beansanddice#8663,Polania Militant,39,0,Rusviet Mechanical,14,0,Crimea Industrial,22,0,0,0,0,,0,,,,,,,,,,,,,
