,,Quarantine - Have the most workers on your home base,,,,,,,if final coin score is tied add 0.5 to the score of the player that won the tiebreaker,,,,,,,,,,,,,,,,,3,4,2
,,Togawa Militant,,Albion Innovative,,Nordic Agricultural,,,if final challenge score is tied add 0.5 to the challenge score for game 3 ,,,,,,,,,,,,,,,,,,,
,,Wins: 3 ~ 33.33%,,Wins: 4 ~ 44.44%,,Wins: 2 ~ 22.22%,,,  for the tied player that used the least time in game 3,,,,,,,,,,,,,,,,,,,
,,Game 1,,,Game 2,,,Game 3,,,,,,,,,,,,,,,,,,,,
Group,Player Name,Faction / Mat,Raw Score,Challenge Score,Faction / Mat,Raw Score,Challenge Score,Faction / Mat,Raw Score,Challenge Score,Game Wins,Challenge Total,Challenge Win,check,Total Round Points,,,,,,,,,,,,,
A,@JoyDivision#1722,Togawa Militant,75,1,Albion Innovative,64,0,Nordic Agricultural,42,6,2,7,1,,3,,,,,,,,,,,,,
A,@Nevic#8382,Albion Innovative,68,1,Nordic Agricultural,26,0,Togawa Militant,65,2,1,3,0,,1,,,,,,,,,,,,,
A,@EchoPapa#8173,Nordic Agricultural,57,0,Togawa Militant,49,0,Albion Innovative,64,0,0,0,0,,0,,,,,,,,,,,,,
B,@bbScythe#6377,Togawa Militant,51,5,Albion Innovative,55,0,Nordic Agricultural,35,6,1,11,1,,2,,,,,,,,,,,,,
B,@Symphonous#0603,Albion Innovative,46,0,Nordic Agricultural,76,0,Togawa Militant,49,0,1,0,0,,1,,,,,,,,,,,,,
B,@N00dles#1849,Nordic Agricultural,36,3,Togawa Militant,74,3,Albion Innovative,52,0,1,6,0,,1,,,,,,,,,,,,,
C,@Mr. Der#8615,Togawa Militant,49,1,Albion Innovative,63,2,Nordic Agricultural,85,1,2,4,0,,2,,,,,,,,,,,,,
C,@Zuelo#6778,Albion Innovative,55,0,Nordic Agricultural,54,0,Togawa Militant,47,6,1,6,1,,2,,,,,,,,,,,,,
C,@FOMOF#2746,Nordic Agricultural,34,2,Togawa Militant,62.5,0,Albion Innovative,71,0,0,2,0,,0,,,,,,,,,,,,,

