Game #,Home Player,Away Player,Faction 1,Mat 1,Combo Bid 1,Faction 2,Mat 2,Combo Bid 2,Player on Combo 1,Player on Combo 2,Match Winner,Match Loser,score combo 1,score combo 2,# rounds
1,Winteriscoming,loveable tofosi,Nordic,Innovative,9,Saxony,Engineering,0,Winteriscoming,loveable tofosi,loveable tofosi,Winteriscoming,38,44,19
2,loveable tofosi,Winteriscoming,Albion,Industrial,10,Togawa,Agricultural,0,Winteriscoming,loveable tofosi,loveable tofosi,Winteriscoming,45,48,21
3,Winteriscoming,thebluebus,Togawa,Industrial,0,Nordic,Engineering,4,Winteriscoming,thebluebus,thebluebus,Winteriscoming,28,41,18
4,thebluebus,Winteriscoming,Rusviet,Patriotic,0,Polania,Innovative,10,thebluebus,Winteriscoming,thebluebus,Winteriscoming,61,25,17
5,tomeleoon,thebluebus,Saxony,Patriotic,5,Crimea,Engineering,0,tomeleoon,thebluebus,thebluebus,tomeleoon,37,44,17
6,truebroyeti,thebluebus,Togawa,Militant,0,Saxony,Engineering,0,truebroyeti,thebluebus,truebroyeti,thebluebus,68,49,27
7,thebluebus,loveable tofosi,Rusviet,Patriotic,0,Crimea,Agricultural,7,loveable tofosi,thebluebus,thebluebus,loveable tofosi,23,35,19
8,loveable tofosi,thebluebus,Togawa,Innovative,0,Albion,Militant,0,thebluebus,loveable tofosi,thebluebus,loveable tofosi,84,68,24
9,Winteriscoming,loveable tofosi,Togawa,Militant,0,Saxony,Engineering,3,Winteriscoming,loveable tofosi,Winteriscoming,loveable tofosi,90,60,
10,loveable tofosi,Winteriscoming,Crimea,Innovative,15,Nordic,Patriotic,0,Winteriscoming,loveable tofosi,Winteriscoming,loveable tofosi,48,46,
11,Winteriscoming,thebluebus,Togawa,Militant,0,Saxony,Engineering,5,Winteriscoming,thebluebus,thebluebus,Winteriscoming,,,
12,thebluebus,Winteriscoming,Polania,Patriotic,0,Nordic,Innovative,8,thebluebus,Winteriscoming,thebluebus,Winteriscoming,54,40,19
13,loveable tofosi,thebluebus,Polania,Industrial,8,Saxony,Agricultural,0,thebluebus,loveable tofosi,thebluebus,loveable tofosi,38,25,16
14,thebluebus,loveable tofosi,Rusviet,Engineering,0,Nordic,Industrial,8,thebluebus,loveable tofosi,thebluebus,loveable tofosi,37,17,13
15,loveable tofosi,WaveSamu,Nordic,Industrial,0,Saxony,Militant,9,WaveSamu,loveable tofosi,WaveSamu,loveable tofosi,69,33,15
16,WaveSamu,loveable tofosi,Polania,Militant,0,Crimea,Innovative,0,loveable tofosi,WaveSamu,WaveSamu,loveable tofosi,23,48,13
17,tomeleoon,WaveSamu,Polania,Engineering,0,Crimea,Agricultural,2,tomeleoon,WaveSamu,tomeleoon,WaveSamu,55,24,19
18,WaveSamu,tomeleoon,Polania,Militant,0,Crimea,Innovative,6,WaveSamu,tomeleoon,tomeleoon,WaveSamu,31,45,13
19,thebluebus,WaveSamu,Nordic,Patriotic,0,Crimea,Industrial,7,WaveSamu,thebluebus,thebluebus,WaveSamu,40,48,22
20,tomeleoon,loveable tofosi,Saxony,Innovative,0,Rusviet,Patriotic,0,loveable tofosi,tomeleoon,tomeleoon,loveable tofosi,44,73,17
21,loveable tofosi,tomeleoon,Saxony,Industrial,0,Rusviet,Agricultural,0,loveable tofosi,tomeleoon,tomeleoon,loveable tofosi,30,48,16
22,thebluebus,tomeleoon,Crimea,Agricultural,3,Rusviet,Patriotic,0,thebluebus,tomeleoon,tomeleoon,thebluebus,14,54,14
23,thebluebus,truebroyeti,Crimea,Agricultural,3,Rusviet,Patriotic,0,thebluebus,truebroyeti,thebluebus,truebroyeti,,,
24,thebluebus,stillcantfrontlever,Polania,Industrial,14,Saxony,Mechanical,0,stillcantfrontlever,thebluebus,thebluebus,stillcantfrontlever,35,69,19
25,WaveSamu,thebluebus,Nordic,Mechanical,0,Saxony,Agricultural,0,thebluebus,WaveSamu,WaveSamu,thebluebus,26,39,14
26,thebluebus,WaveSamu,Polania,Innovative,7,Crimea,Mechanical,0,thebluebus,WaveSamu,thebluebus,WaveSamu,73,32,17
27,truebroyeti,thebluebus,Togawa,Engineering,4,Albion,Mechanical,0,thebluebus,truebroyeti,truebroyeti,thebluebus,40,67,24
28,Winteriscoming,truebroyeti,Nordic,Innovative,6,Saxony,Engineering,0,truebroyeti,Winteriscoming,truebroyeti,Winteriscoming,76,49,19
29,tomeleoon,Winteriscoming,Polania,Engineering,4,Nordic,Agricultural,0,Winteriscoming,tomeleoon,tomeleoon,Winteriscoming,52,68,20
30,Winteriscoming,tomeleoon,Nordic,Innovative,9,Saxony,Engineering,0,Winteriscoming,tomeleoon,tomeleoon,Winteriscoming,36,53,17
31,WaveSamu,Winteriscoming,Polania,Patriotic,19,Saxony,Agricultural,0,Winteriscoming,WaveSamu,Winteriscoming,WaveSamu,69,25,
32,tomeleoon,WaveSamu,Saxony,Mechanical,2,Albion,Patriotic,0,WaveSamu,tomeleoon,WaveSamu,tomeleoon,51,48,21
33,truebroyeti,Winteriscoming,Albion,Innovative,0,Nordic,Mechanical,6,truebroyeti,Winteriscoming,truebroyeti,Winteriscoming,94,53,23
34,truebroyeti,loveable tofosi,Togawa,Engineering,0,Albion,Mechanical,6,truebroyeti,loveable tofosi,truebroyeti,loveable tofosi,72,46,23
35,loveable tofosi,truebroyeti,Saxony,Innovative,9,Nordic,Patriotic,0,loveable tofosi,truebroyeti,truebroyeti,loveable tofosi,27,64,17
36,truebroyeti,loveable tofosi,Rusviet,Agricultural,0,Polania,Mechanical,2,truebroyeti,loveable tofosi,truebroyeti,loveable tofosi,88,52,19
