game,player,ranking,updated_rating
1,99,1,"{""mu"": 27.795252672501135, ""sigma"": 8.263571791259416, ""ordinal"": 1272.1088951693494}"
1,16,2,"{""mu"": 26.55291815138952, ""sigma"": 8.17961798837266, ""ordinal"": 1248.337540470517}"
1,138,3,"{""mu"": 24.689416369722096, ""sigma"": 8.084127880168786, ""ordinal"": 1210.4887855011777}"
1,59,4,"{""mu"": 20.962412806387245, ""sigma"": 8.084127880168786, ""ordinal"": 1121.0406999811412}"
2,101,1,"{""mu"": 27.869048680749426, ""sigma"": 8.205243377397993, ""ordinal"": 1278.0796451653307}"
2,174,2,"{""mu"": 25.717262170187357, ""sigma"": 8.058224222802378, ""ordinal"": 1237.0221480427253}"
2,22,3,"{""mu"": 21.413689149063217, ""sigma"": 8.058224222802378, ""ordinal"": 1133.736395535746}"
3,171,1,"{""mu"": 27.869048680749426, ""sigma"": 8.205243377397993, ""ordinal"": 1278.0796451653307}"
3,137,2,"{""mu"": 25.717262170187357, ""sigma"": 8.058224222802378, ""ordinal"": 1237.0221480427253}"
3,35,3,"{""mu"": 21.413689149063217, ""sigma"": 8.058224222802378, ""ordinal"": 1133.736395535746}"
4,80,1,"{""mu"": 27.795252672501135, ""sigma"": 8.263571791259416, ""ordinal"": 1272.1088951693494}"
4,73,2,"{""mu"": 26.55291815138952, ""sigma"": 8.17961798837266, ""ordinal"": 1248.337540470517}"
4,5,3,"{""mu"": 24.689416369722096, ""sigma"": 8.084127880168786, ""ordinal"": 1210.4887855011777}"
4,42,4,"{""mu"": 20.962412806387245, ""sigma"": 8.084127880168786, ""ordinal"": 1121.0406999811412}"
5,169,1,"{""mu"": 27.795252672501135, ""sigma"": 8.263571791259416, ""ordinal"": 1272.1088951693494}"
5,167,2,"{""mu"": 26.55291815138952, ""sigma"": 8.17961798837266, ""ordinal"": 1248.337540470517}"
5,110,3,"{""mu"": 24.689416369722096, ""sigma"": 8.084127880168786, ""ordinal"": 1210.4887855011777}"
5,38,4,"{""mu"": 20.962412806387245, ""sigma"": 8.084127880168786, ""ordinal"": 1121.0406999811412}"
6,20,1,"{""mu"": 27.795252672501135, ""sigma"": 8.263571791259416, ""ordinal"": 1272.1088951693494}"
6,57,2,"{""mu"": 26.55291815138952, ""sigma"": 8.17961798837266, ""ordinal"": 1248.337540470517}"
6,117,3,"{""mu"": 24.689416369722096, ""sigma"": 8.084127880168786, ""ordinal"": 1210.4887855011777}"
6,146,4,"{""mu"": 20.962412806387245, ""sigma"": 8.084127880168786, ""ordinal"": 1121.0406999811412}"
7,148,1,"{""mu"": 27.795252672501135, ""sigma"": 8.263571791259416, ""ordinal"": 1272.1088951693494}"
7,122,2,"{""mu"": 26.55291815138952, ""sigma"": 8.17961798837266, ""ordinal"": 1248.337540470517}"
7,1,3,"{""mu"": 24.689416369722096, ""sigma"": 8.084127880168786, ""ordinal"": 1210.4887855011777}"
7,164,4,"{""mu"": 20.962412806387245, ""sigma"": 8.084127880168786, ""ordinal"": 1121.0406999811412}"
8,93,1,"{""mu"": 27.869048680749426, ""sigma"": 8.205243377397993, ""ordinal"": 1278.0796451653307}"
8,189,2,"{""mu"": 25.717262170187357, ""sigma"": 8.058224222802378, ""ordinal"": 1237.0221480427253}"
8,128,3,"{""mu"": 21.413689149063217, ""sigma"": 8.058224222802378, ""ordinal"": 1133.736395535746}"
9,37,1,"{""mu"": 27.795252672501135, ""sigma"": 8.263571791259416, ""ordinal"": 1272.1088951693494}"
9,100,2,"{""mu"": 26.55291815138952, ""sigma"": 8.17961798837266, ""ordinal"": 1248.337540470517}"
9,81,3,"{""mu"": 24.689416369722096, ""sigma"": 8.084127880168786, ""ordinal"": 1210.4887855011777}"
9,2,4,"{""mu"": 20.962412806387245, ""sigma"": 8.084127880168786, ""ordinal"": 1121.0406999811412}"
10,176,1,"{""mu"": 27.795252672501135, ""sigma"": 8.263571791259416, ""ordinal"": 1272.1088951693494}"
10,120,2,"{""mu"": 26.55291815138952, ""sigma"": 8.17961798837266, ""ordinal"": 1248.337540470517}"
10,49,3,"{""mu"": 24.689416369722096, ""sigma"": 8.084127880168786, ""ordinal"": 1210.4887855011777}"
10,15,4,"{""mu"": 20.962412806387245, ""sigma"": 8.084127880168786, ""ordinal"": 1121.0406999811412}"
11,81,1,"{""mu"": 27.411812060005854, ""sigma"": 8.022419389604476, ""ordinal"": 1280.2692933886183}"
11,99,2,"{""mu"": 29.128177874115707, ""sigma"": 8.099845005004886, ""ordinal"": 1315.8874286184252}"
11,174,3,"{""mu"": 25.42526552448256, ""sigma"": 7.83244296675838, ""ordinal"": 1246.270478980978}"
11,86,4,"{""mu"": 21.06394076066981, ""sigma"": 8.078404206539693, ""ordinal"": 1123.8894753852176}"
12,49,1,"{""mu"": 27.44238537609554, ""sigma"": 7.964509649997157, ""ordinal"": 1285.1725542264976}"
12,80,2,"{""mu"": 27.748991213885677, ""sigma"": 7.9779366033275005, ""ordinal"": 1291.5643536936761}"
12,146,3,"{""mu"": 18.25371813482298, ""sigma"": 7.848949741116931, ""ordinal"": 1072.9648538753324}"
13,171,1,"{""mu"": 30.435805647292934, ""sigma"": 8.127019320274124, ""ordinal"": 1345.3139444752935}"
13,15,2,"{""mu"": 22.729997390816735, ""sigma"": 7.952980512837072, ""ordinal"": 1172.9053404553324}"
13,164,3,"{""mu"": 21.21397995329774, ""sigma"": 7.8657796575858265, ""ordinal"": 1142.7993835329662}"
13,167,4,"{""mu"": 21.935037732687512, ""sigma"": 7.924364198579786, ""ordinal"": 1155.8866832867557}"
14,73,1,"{""mu"": 29.258648527807235, ""sigma"": 8.050074268550357, ""ordinal"": 1322.6022173317479}"
14,93,2,"{""mu"": 27.88329205735159, ""sigma"": 7.930652545567766, ""ordinal"": 1298.192026095559}"
14,38,3,"{""mu"": 18.305655340130134, ""sigma"": 7.852807282585901, ""ordinal"": 1073.9336038169383}"
15,148,1,"{""mu"": 30.455710228939324, ""sigma"": 8.185772233953871, ""ordinal"": 1341.561444649865}"
15,128,2,"{""mu"": 23.23540292476678, ""sigma"": 7.93214355216955, ""ordinal"": 1186.5353344381952}"
15,110,3,"{""mu"": 24.487447878913986, ""sigma"": 7.852218121177577, ""ordinal"": 1222.33904436915}"
15,57,4,"{""mu"": 22.275997883487282, ""sigma"": 7.927718396845377, ""ordinal"": 1163.8282246308277}"
16,100,1,"{""mu"": 29.237274395595765, ""sigma"": 8.108464704794642, ""ordinal"": 1317.885126749084}"
16,169,2,"{""mu"": 29.019609488445795, ""sigma"": 8.094542821640921, ""ordinal"": 1313.6635445645527}"
16,189,3,"{""mu"": 25.13403909471912, ""sigma"": 7.827795228336514, ""ordinal"": 1239.6156818330298}"
16,59,4,"{""mu"": 17.755572185729243, ""sigma"": 7.873120235846098, ""ordinal"": 1059.2690754765827}"
17,176,1,"{""mu"": 30.29001164856119, ""sigma"": 7.997088950693205, ""ordinal"": 1351.1698751155577}"
17,16,2,"{""mu"": 24.108587584032083, ""sigma"": 7.923949474813246, ""ordinal"": 1208.0817398302163}"
18,120,1,"{""mu"": 29.226870640627162, ""sigma"": 8.107699278060629, ""ordinal"": 1317.6905473546867}"
18,42,2,"{""mu"": 22.857834587501912, ""sigma"": 7.958988693570426, ""ordinal"": 1175.5408441629752}"
18,101,3,"{""mu"": 27.02739663986629, ""sigma"": 7.944668894216638, ""ordinal"": 1276.641358973193}"
18,1,4,"{""mu"": 20.99909463713883, ""sigma"": 7.852747689623531, ""ordinal"": 1138.5804376384376}"
19,37,1,"{""mu"": 30.455710228939324, ""sigma"": 8.185772233953871, ""ordinal"": 1341.561444649865}"
19,122,2,"{""mu"": 27.85314815394451, ""sigma"": 8.021127114036119, ""ordinal"": 1290.9544034840676}"
19,5,3,"{""mu"": 24.237244568310075, ""sigma"": 7.852700515879054, ""ordinal"": 1216.2994324961498}"
19,22,4,"{""mu"": 18.071150868945573, ""sigma"": 7.844991998798749, ""ordinal"": 1068.8681969411837}"
20,20,1,"{""mu"": 30.113353753906075, ""sigma"": 7.996612737990434, ""ordinal"": 1346.9643729584345}"
20,138,2,"{""mu"": 22.47088745880387, ""sigma"": 7.839915332844409, ""ordinal"": 1174.8273950464954}"
21,120,1,"{""mu"": 31.74772819813648, ""sigma"": 8.027893808415095, ""ordinal"": 1383.9371225493885}"
21,110,2,"{""mu"": 25.909280368250997, ""sigma"": 7.717647153515915, ""ordinal"": 1266.152133784878}"
21,81,3,"{""mu"": 26.287030687453957, ""sigma"": 7.776913799181709, ""ordinal"": 1270.950942957812}"
21,146,4,"{""mu"": 15.547198593795141, ""sigma"": 7.664005859138221, ""ordinal"": 1021.3243443931315}"
22,101,1,"{""mu"": 29.611509433106544, ""sigma"": 7.876353080176268, ""ordinal"": 1343.5788046218659}"
22,176,2,"{""mu"": 31.142239631578118, ""sigma"": 7.82936938110827, ""ordinal"": 1383.6991557180795}"
22,174,3,"{""mu"": 24.812333855537748, ""sigma"": 7.61630923645917, ""ordinal"": 1247.1217475078456}"
22,38,4,"{""mu"": 15.575314433326348, ""sigma"": 7.667182155319104, ""ordinal"": 1021.7704312168569}"
23,42,1,"{""mu"": 25.645790960897124, ""sigma"": 7.904856867193198, ""ordinal"": 1246.3492886236206}"
23,171,2,"{""mu"": 31.555999522285283, ""sigma"": 7.960998554257287, ""ordinal"": 1384.1520926283222}"
23,122,3,"{""mu"": 27.34140968997856, ""sigma"": 7.786587013560576, ""ordinal"": 1295.559567583124}"
23,117,4,"{""mu"": 21.22451592658, ""sigma"": 7.857679462153486, ""ordinal"": 1143.635460962869}"
24,99,1,"{""mu"": 31.59837105528883, ""sigma"": 7.960458826380831, ""ordinal"": 1385.207869827512}"
24,93,2,"{""mu"": 27.74206267648491, ""sigma"": 7.68423922192842, ""ordinal"": 1312.5442802567916}"
24,22,3,"{""mu"": 15.892135355488897, ""sigma"": 7.647486205520902, ""ordinal"": 1030.7922417342286}"
25,20,1,"{""mu"": 32.50788828443143, ""sigma"": 7.918517242745983, ""ordinal"": 1410.0560773486436}"
25,128,2,"{""mu"": 24.78944275703807, ""sigma"": 7.795593859774447, ""ordinal"": 1233.6638682651535}"
25,49,3,"{""mu"": 26.253849957423526, ""sigma"": 7.724460155279452, ""ordinal"": 1273.931267798044}"
25,59,4,"{""mu"": 15.064834571783248, ""sigma"": 7.686372634166654, ""ordinal"": 1008.1372000627988}"
26,73,1,"{""mu"": 31.79955604408518, ""sigma"": 7.91892134906255, ""ordinal"": 1393.0270079255408}"
26,169,2,"{""mu"": 29.00425986542834, ""sigma"": 7.825685826072999, ""ordinal"": 1332.6528572930242}"
26,164,3,"{""mu"": 18.80256344032815, ""sigma"": 7.656405544095347, ""ordinal"": 1100.0003233930106}"
27,2,1,"{""mu"": 23.84743126291363, ""sigma"": 8.026624863535986, ""ordinal"": 1194.4213601353363}"
27,148,2,"{""mu"": 31.331467328863596, ""sigma"": 8.007087990929096, ""ordinal"": 1375.4448805458314}"
27,16,3,"{""mu"": 23.912032222448005, ""sigma"": 7.70858303287955, ""ordinal"": 1218.8707949714244}"
27,15,4,"{""mu"": 19.309154268997478, ""sigma"": 7.740892545059758, ""ordinal"": 1106.0754392116369}"
28,37,1,"{""mu"": 32.86251141870815, ""sigma"": 8.099481569197145, ""ordinal"": 1405.5376010668012}"
28,167,2,"{""mu"": 23.479182051326017, ""sigma"": 7.792494262875255, ""ordinal"": 1202.440782304806}"
28,86,3,"{""mu"": 21.019607881925793, ""sigma"": 7.848110240158582, ""ordinal"": 1139.4066518748011}"
28,57,4,"{""mu"": 18.515779543138642, ""sigma"": 7.7089641793736146, ""ordinal"": 1089.3332881204271}"
29,80,1,"{""mu"": 30.30888076448423, ""sigma"": 7.907726041601956, ""ordinal"": 1358.0568633522807}"
29,5,2,"{""mu"": 25.798614823225247, ""sigma"": 7.722882201035672, ""ordinal"": 1263.1192372828375}"
29,1,3,"{""mu"": 21.53941730707869, ""sigma"": 7.6579571862377955, ""ordinal"": 1165.5730979607672}"
29,100,4,"{""mu"": 24.35213835192426, ""sigma"": 7.846146235981528, ""ordinal"": 1219.5287914555122}"
30,16,1,"{""mu"": 26.739854937495203, ""sigma"": 7.611221668319981, ""ordinal"": 1293.7485583808461}"
30,81,2,"{""mu"": 27.268473452257595, ""sigma"": 7.538300188899685, ""ordinal"": 1311.685749253405}"
30,80,3,"{""mu"": 26.318347010453685, ""sigma"": 7.637868519182345, ""ordinal"": 1281.7137948697596}"
31,20,1,"{""mu"": 34.68386968320353, ""sigma"": 7.835696395955495, ""ordinal"": 1468.242731888089}"
31,167,2,"{""mu"": 24.830053931434225, ""sigma"": 7.656506362635185, ""ordinal"": 1244.652836244688}"
31,2,3,"{""mu"": 23.022764036402606, ""sigma"": 7.781412838654424, ""ordinal"": 1192.284612490544}"
31,22,4,"{""mu"": 13.310084730628661, ""sigma"": 7.478350089249491, ""ordinal"": 981.0008271091245}"
32,176,1,"{""mu"": 33.472150730493944, ""sigma"": 7.7536428773636334, ""ordinal"": 1445.069330361673}"
32,1,2,"{""mu"": 23.279272761005252, ""sigma"": 7.544978605251823, ""ordinal"": 1215.4640866859947}"
32,146,3,"{""mu"": 16.799494559118475, ""sigma"": 7.510787698013851, ""ordinal"": 1062.4111551618462}"
32,73,4,"{""mu"": 26.2186282314016, ""sigma"": 7.6719782480993866, ""ordinal"": 1276.8646436904826}"
33,99,1,"{""mu"": 33.8055073295761, ""sigma"": 7.874521202966206, ""ordinal"": 1444.3666492962595}"
33,38,2,"{""mu"": 17.545864295512317, ""sigma"": 7.56708362732067, ""ordinal"": 1076.2707219252075}"
