event,name
1,A1
1,B1
1,C1
1,D1
1,E1
1,F1
1,G1
1,H1
1,I1
1,J1
1,A2
1,B2
1,C2
1,D2
1,E2
1,F2
1,G2
1,H2
1,I2
1,J2
1,A3
1,B3
1,C3
1,D3
1,E3
1,F3
1,G3
1,H3
1,I3
1,A4
1,B4
1,C4
1,D4
1,E4
1,F4
1,G4
1,H4
1,I4
1,Semi 1
1,Semi 2
1,Semi 3
1,Elimination 1a
1,Elimination 1b
1,Elimination 2a
1,Elimination 2b
1,Finals
2,A1
2,B1
2,C1
2,D1
2,E1
2,F1
2,G1
2,H1
2,I1
2,J1
2,K1
2,L1
2,M1
2,N1
2,O1
2,Q1
2,R1
2,A2
2,B2
2,C2
2,D2
2,E2
2,F2
2,G2
2,H2
2,I2
2,J2
2,K2
2,L2
2,M2
2,N2
2,O2
2,P2
2,A3
2,B3
2,C3
2,D3
2,E3
2,F3
2,G3
2,H3
2,I3
2,J3
2,K3
2,L3
2,M3
2,N3
2,O3
2,A4
2,B4
2,C4
2,D4
2,E4
2,F4
2,G4
2,H4
2,I4
2,J4
2,K4
2,L4
2,M4
2,N4
2,O4
2,A5
2,B5
2,C5
2,D5
2,E5
2,F5
2,G5
2,H5
2,I5
2,J5
2,K5
2,L5
2,M5
2,N5
2,O5
2,QF1
2,QF2
2,QF3
2,QF4
2,QE1
2,QE2
2,QE3
2,QE4
2,SF1
2,SF2
2,SE1
2,SE2
2,FF1
3,PreQuarter A
3,PreQuarter B
3,PreQuarter C
3,PreQuarter D
3,PreQuarter E
3,PreQuarter F
3,PreQuarter G
3,PreQuarter H
3,Quarterfinal A
3,Quarterfinal B
3,Quarterfinal C
3,Quarterfinal D
3,Semifinal A
3,Semifinal B
3,Final
4,A1
4,B1
4,C1
4,D1
4,E1
4,F1
4,G1
4,H1
4,I1
4,A2
4,B2
4,C2
4,D2
4,E2
4,F2
4,G2
4,H2
4,I2
4,A3
4,B3
4,C3
4,D3
4,E3
4,F3
4,G3
4,H3
4,I3
4,A4
4,B4
4,C4
4,D4
4,E4
4,G4
4,H4
4,Play In
4,Final
5,G1
5,G2
5,G3
5,G4
5,G5
5,G6
5,G7
5,G8
5,G9
5,G10
5,G11
5,G12
5,G13
5,G14
5,G15
5,G16
5,G17
5,G18
5,G19
5,G20
5,G21
5,G22
5,G23
5,G24
5,G25
5,G26
5,G27
5,G28
5,G29
5,G30
5,G31
5,G32
5,G33
5,G34
5,G35
5,G36
5,G37
5,G38
5,G39
5,G40
6,A1
6,B1
6,C1
6,D1
6,E1
6,F1
6,G1
6,H1
6,I1
6,J1
6,A2
6,B2
6,C2
6,D2
6,E2
6,F2
6,G2
6,H2
6,I2
6,J2
6,A3
6,B3
6,C3
6,D3
6,E3
6,F3
6,G3
6,H3
6,I3
6,J3
6,A4
6,B4
6,C4
6,D4
6,E4
6,F4
6,G4
6,H4
6,I4
6,J4
6,Semi 1
6,Semi 2
6,Finals
7,G1
7,G2
7,G3
7,G4
7,G5
7,G6
7,G7
7,G8
7,G9
7,G10
7,G11
7,G12
7,G13
7,G14
7,G15
7,G16
7,G17
7,G18
7,G19
7,G20
7,G21
7,G22
7,G23
7,G24
7,G25
7,G26
7,G27
7,G28
7,G29
7,G30
8,A1
8,A1
8,A1
8,B1
8,B1
8,B1
8,C1
8,C1
8,C1
8,D1
8,D1
8,D1
8,E1
8,E1
8,E1
8,F1
8,F1
8,F1
8,G1
8,G1
8,G1
8,H1
8,H1
8,H1
8,I1
8,I1
8,I1
8,J1
8,J1
8,J1
8,K1
8,K1
8,K1
8,L1
8,L1
8,L1
8,M1
8,M1
8,M1
8,N1
8,N1
8,N1
8,A2
8,A2
8,A2
8,B2
8,B2
8,B2
8,C2
8,C2
8,C2
8,D2
8,D2
8,D2
8,E2
8,E2
8,E2
8,F2
8,F2
8,F2
8,G2
8,G2
8,G2
8,H2
8,H2
8,H2
8,I2
8,I2
8,I2
8,J2
8,J2
8,J2
8,K2
8,K2
8,K2
8,L2
8,L2
8,L2
8,M2
8,M2
8,M2
8,N2
8,N2
8,N2
8,A3
8,A3
8,A3
8,B3
8,B3
8,B3
8,C3
8,C3
8,C3
8,D3
8,D3
8,D3
8,E3
8,E3
8,E3
8,F3
8,F3
8,F3
8,G3
8,G3
8,G3
8,H3
8,H3
8,H3
8,I3
8,I3
8,I3
8,J3
8,J3
8,J3
8,K3
8,K3
8,K3
8,L3
8,L3
8,L3
8,M3
8,M3
8,M3
8,N3
8,N3
8,N3
8,A4
8,A4
8,A4
8,B4
8,B4
8,B4
8,C4
8,C4
8,C4
8,D4
8,D4
8,D4
8,E4
8,E4
8,E4
8,F4
8,F4
8,F4
8,G4
8,G4
8,G4
8,H4
8,H4
8,H4
8,I4
8,I4
8,I4
8,J4
8,J4
8,J4
8,K4
8,K4
8,K4
8,L4
8,L4
8,L4
8,M4
8,M4
8,M4
8,N4
8,N4
8,N4
8,Semi A
8,Semi A
8,Semi A
8,Semi B
8,Semi B
8,Semi B
8,Semi C
8,Semi C
8,Semi C
8,Finals
8,Finals
8,Finals
9,R1 A1
9,R1 A2
9,R1 A3
9,R1 B1
9,R1 B2
9,R1 B3
9,R1 C1
9,R1 C2
9,R1 C3
9,R1 D1
9,R1 D2
9,R1 D3
9,R1 E1
9,R1 E2
9,R1 E3
9,R1 F1
9,R1 F2
9,R1 F3
9,R1 G1
9,R1 G2
9,R1 G3
9,R1 H1
9,R1 H2
9,R1 H3
9,R1 I1
9,R1 I2
9,R1 I3
9,R1 J1
9,R1 J2
9,R1 J3
9,R1 K1
9,R1 K2
9,R1 K3
9,R1 L1
9,R1 L2
9,R1 L3
9,R2 A1
9,R2 A2
9,R2 A3
9,R2 B1
9,R2 B2
9,R2 B3
9,R2 C1
9,R2 C2
9,R2 C3
9,R2 D1
9,R2 D2
9,R2 D3
9,R2 E1
9,R2 E2
9,R2 E3
9,R2 F1
9,R2 F2
9,R2 F3
9,R2 G1
9,R2 G2
9,R2 G3
9,R2 H1
9,R2 H2
9,R2 H3
9,R2 I1
9,R2 I2
9,R2 I3
9,R2 J1
9,R2 J2
9,R2 J3
9,R2 K1
9,R2 K2
9,R2 K3
9,R2 L1
9,R2 L2
9,R2 L3
9,R3 A1
9,R3 A2
9,R3 A3
9,R3 B1
9,R3 B2
9,R3 B3
9,R3 C1
9,R3 C2
9,R3 C3
9,R3 D1
9,R3 D2
9,R3 D3
9,R3 E1
9,R3 E2
9,R3 E3
9,R3 F1
9,R3 F2
9,R3 F3
9,R3 G1
9,R3 G2
9,R3 G3
9,R3 H1
9,R3 H2
9,R3 H3
9,R3 I1
9,R3 I2
9,R3 I3
9,R3 J1
9,R3 J2
9,R3 J3
9,R3 K1
9,R3 K2
9,R3 K3
9,R3 L1
9,R3 L2
9,R3 L3
9,R4 A1
9,R4 A2
9,R4 A3
9,R4 B1
9,R4 B2
9,R4 B3
9,R4 C1
9,R4 C2
9,R4 C3
9,R4 D1
9,R4 D2
9,R4 D3
9,R4 E1
9,R4 E2
9,R4 E3
9,R4 F1
9,R4 F2
9,R4 F3
9,R4 G1
9,R4 G2
9,R4 G3
9,R4 H1
9,R4 H2
9,R4 H3
9,R4 I1
9,R4 I2
9,R4 I3
9,R4 J1
9,R4 J2
9,R4 J3
9,R4 K1
9,R4 K2
9,R4 K3
9,R4 L1
9,R4 L2
9,R4 L3
9,Semi A1
9,Semi A2
9,Semi A3
9,Semi B1
9,Semi B2
9,Semi B3
9,Semi C1
9,Semi C2
