,Round 1,,,,,,,,Round 2,,,,,,,,Round 3,,,,,,,,Round 4,,,,,,,
Group,Player Name,Faction,Mat,Raw Score,raw bid from table,AutoBid value,Net Score,Points Earned,Player Name,Faction,Mat,Raw Score,raw bid from table,AutoBid value,Net Score,Points Earned,Player Name,Faction,Mat,Raw Score,raw bid from table,AutoBid value,Net Score,Points Earned,Player Name,Faction,Mat,Raw Score,raw bid from table,AutoBid value,Net Score,Points Earned
A,Lidder#8943,Polania,Industrial,59,$17,$10,,3,lsfnewyork#7507 ,Crimea,Agricultural,74,$12,$4,$70,3,lsfnewyork#7507 ,Crimea,Militant,83,$34,$31,$52,1,lsfnewyork#7507 ,Crimea,Innovative,61,$29,$24,$37,3
A,CrawSlaw# 0033,Togawa,Agricultural,40,$7,$0,,0,Rossyrg#1744,Rusviet,Mechanical,55,$26,$18,$37,1,Lilleadam#0833,Polania,Patriotic,53,$12,$9,$44,1,Britta#0453,Togawa,Engineering,25,$5,$0,$25,1
A,ДанилаМастер#5570,,,,,,,,Croft#4205,Nordic,Industrial,39,$15,$7,$32,1,HarleyQuinn#1160,Albion,Agricultural,38,$3,$0,$38,0,Sad Sad Tim,Polania,Agricultural,27,$9,$4,$23,1
A,H2G#5686,Nordic,Patriotic,56,$16,$9,,1,Glycerine#5308,Albion,Patriotic,23,$8,$0,$23,0,Britta#0453,Togawa,Engineering,71,$5,$2,$69,3,DominoBay#6208,Saxony,Industrial,26,$15,$10,$16,0
B,bfranx62#7669,Saxony,Industrial,36,$15,$7,$29,0,HarleyQuinn#1160,Albion,Patriotic,92,$8,$8,$84,3,Rossyrg#1744,Rusviet,Patriotic,62,$21,$14,$48,0,Lilleadam#0833,Polania,Industrial,36,$17,$11,$25,0
B,Glim3#0992,Albion,Patriotic,51,$8,$0,$51,1,Britta#0453,Crimea,Agricultural,79,$12,$12,$67,1,thebough#8806,Nordic,Engineering,54,$7,$0,$54,1,Daekony#7486,Togawa,Patriotic,35,$11,$5,$30,1
B,DenverKris72#6485,Polania,Militant,47,$25,$17,$30,1,thebough#8806,Rusviet,Militant,68,$30,$30,$38,1,Croft#4205,Crimea,Agricultural,54,$12,$5,$49,1,Grishous#5984,Rusviet,Mechanical,68,$26,$20,$48,3
B,Britta#0453,Crimea,Agricultural,75,$12,$4,$71,3,ShadowEL3MENT17#4183,Togawa,Mechanical,33,$0,$0,$33,0,DominoBay#6208,Saxony,Industrial,72,$15,$8,$64,3,thebough#8806,Nordic,Agricultural,42,$6,$0,$42,1
C,garthcp#0690,Crimea,Mechanical,35,$23,$11,$24,0,Sad Sad Tim,Rusviet,Militant,51,$30,$21,$30,1,Sad Sad Tim,Polania,Agricultural,79,$9,$0,$79,3,HarleyQuinn#1160,Albion,Militant,40,$13,$6,$34,0
C,mvince113#9143,Nordic,Industrial,33,$15,$3,$30,1,Lilleadam#0833,Polania,Agricultural,45,$9,$0,$45,3,Lidder#8943,Togawa,Patriotic,74,$11,$2,$72,1,Lidder#8943,Togawa,Agricultural,51,$7,$0,$51,1
C,Croft#4205,Rusviet,Innovative,61.5,$35,$23,$39,3,Lidder#8943,Saxony,Patriotic,39,$10,$1,$38,1,Glim3#0992,Albion,Innovative,61,$12,$3,$58,0,Croft#4205,Nordic,Industrial,63,$15,$8,$55,3
