event,match,player_a,rank_a,player_b,rank_b,player_c,rank_c,player_d,rank_d
First DE Tournament,A1,JoyDivision,1,ThrowLow,2,dizisarn,3,phyphor,4
First DE Tournament,B1,FOMOF,1,mrdoublehelix,2,AoB Joe,3,,
First DE Tournament,C1,quangson,1,bembas,2,Chivvo,3,,
First DE Tournament,D1,Tayzer Wayne,1,Reyl,2,zevgon,3,AxlPrototype,4
First DE Tournament,E1,Kuk!,1,Zesix,2,MaryMark3000,3,smugskull,4
First DE Tournament,F1,N00dles,1,salmondip,2,HistoryMystery,3,F2PEngineer,4
First DE Tournament,G1,Mr. Der,1,dAy,2,caitlin,3,doctordoubleu,4
First DE Tournament,H1,thenobleknave,1,errikos,2,MLoki,3,,
First DE Tournament,I1,Germy,1,donov,2,dankynugz,3,Mikebot007,4
First DE Tournament,J1,Ghostwheel,1,Feast4Crows,2,ShakaSpell,3,Zagor,4
First DE Tournament,A2,dankynugz,1,JoyDivision,2,mrdoublehelix,3,achipinthesugar,4
First DE Tournament,B2,ShakaSpell,1,Tayzer Wayne,2,F2PEngineer,3,,
First DE Tournament,C2,quangson,1,Zagor,2,doctordoubleu,3,Zesix,4
First DE Tournament,D2,Reyl,1,thenobleknave,2,smugskull,3,,
First DE Tournament,E2,Mr. Der,1,MLoki,2,MaryMark3000,3,salmondip,4
First DE Tournament,F2,donov,1,Kuk!,2,errikos,3,phyphor,4
First DE Tournament,G2,Ghostwheel,1,ThrowLow,2,,,,
First DE Tournament,H2,Feast4Crows,1,AxlPrototype,2,FOMOF,3,caitlin,4
First DE Tournament,I2,Germy,1,dAy,2,zevgon,3,AoB Joe,4
First DE Tournament,J2,N00dles,1,dizisarn,2,,,,
First DE Tournament,A3,Feast4Crows,1,MaryMark3000,2,dankynugz,3,F2PEngineer,4
First DE Tournament,B3,FOMOF,1,Ghostwheel,2,mrdoublehelix,3,smugskull,4
First DE Tournament,C3,AxlPrototype,1,quangson,2,dAy,3,HistoryMystery,4
First DE Tournament,D3,JoyDivision,1,thenobleknave,2,AoB Joe,3,,
First DE Tournament,E3,N00dles,1,MLoki,2,ShakaSpell,3,phyphor,4
First DE Tournament,F3,Reyl,1,Kuk!,2,doctordoubleu,3,,
